DH_Hole (ID),DH_East,DH_North,DH_Dip,Elevation ,DH_Azimuth,DH_Top,DH_Bottom,DH_PlanDepth,DH_Decr,Mask,,,,,,
K1S13,449153.52,2881097.16,-90,0,0,0,230,,,,,,,,,
K1S25,449658.53,2880772.565,-90,0,0,0,600,,,,,,,,,
K1S32,449947.585,2880568.41,-90,0,0,0,700,,,,,,,,,
K1S43,450392.285,2880263.97,-90,0,0,0,910,,,,,,,,,
K1S45,450481.445,2880213.85,-90,0,0,0,905,,,,,,,,,
K2S03,450119.7,2880760.47,-90,0,0,0,920,,,,,,,,,
K2S08,450326.6,2880621.66,-90,0,0,0,900,,,,,,,,,
K2S11,450533.49,2880482.86,-90,0,0,0,770,,,,,,,,,
TK2S10,450492.11,2880510.62,-60,0,0,0,974,,,,,,,,,
K3S05,450001.845,2881995.865,-90,0,0,0,800,,,,,,,,,
K3S14,450372.66,2881863.045,-90,0,0,0,970,,,,,,,,,
K4S05,449310.085,2882469.11,-90,0,0,0,700.3,,,,,,,,,
K4S13,449687.9,2882335.57,-90,0,0,0,610.8,,,,,,,,,
K4S17,449876.805,2882268.8,-90,0,0,0,685.6,,,,,,,,,
K4S26,450301.845,2882118.565,-90,0,0,0,823,,,,,,,,,
K4S02,449168.41,2882519.185,45,0,0,0,974,,,,,,,,,
K4S23,450160.165,2882168.645,-70,0,0,0,768,,,,,,,,,
K5S04,450130.805,2882354.705,-90,0,0,0,806.89,,,,,,,,,
K5S10,450413.13,2882253.725,-90,0,0,0,910.09,,,,,,,,,
Geology,,,,,,,,,,,,,,,,
DH_Hole,throcks01,throcks02,throcks03,throcks04,throcks05,throcks06,throcks07,throcks08,throcks09,throcks10,throcks11,throcks12,throcks13,throcks14,throcks15,throcks16
K1S13,0,50,150,altered rock,limestone,granite,,,,,,,,,,
K1S25,0,100,220,granite,siltstone,altered rock,,,,,,,,,,
K1S32,0,100,210,310,500,granite,limestone,siltstone,altered rock,ROCK,,,,,,
K1S43,0,121,461,731,900,siltstone,limestone ,argillite,altered rock,ROCK,,,,,,
K1S45,0,542,700.2,900,granodiorite,granite,altered rock,granite,,,,,,,,
K2S03,0,11,87.4,302.3,376.32,767.86,"altered rock ",limestone,carbonate rock,"altered rock ",granite,ROCK,,,,
K2S08,0,51.2,262.3,401,521.3,600,limestone ,carbonate rock,silstone,"altered rock ",granite,ROCK,,,,
K2S11,0,56.89,379.36,563.25,760,sandstone,argillite,limestone,altered rock,granite,,,,,,
TK2S10,0,52.3,111.36,300.5,500.2,750.3,800.5,875,sandstone,limestone,granite,altered rock,granite,"altered rock ",granite,ROCK
K3S05,0,50,300.3,600.2,760.56,limestone,granite,"altered rock ",granite,ROCK,,,,,,
K3S14,0,120.25,500.2,700.4,sandstone ,granite ,"altered rock ",granite,,,,,,,,
K4S05,0,100,250.3,460.2,560.7,650.8,680.8,granite,"altered rock ",granite,"altered rock ",altered rock,granite,ROCK,,
K4S13,0,70.3,280.8,500.3,sandstone ,limestone,altered rock,ROCK,,,,,,,,
K4S17,0,42.3,260.7,310.2,425.8,600.1,sandstone,limestone,altered rock,silstone,granite,"altered rock ",,,,
K4S26,0,68.3,120.3,389.6,500.6,sandstone,CSRK,limestone,"altered rock ",granite,,,,,,
K4S02,0,100,156.36,850.9,900.6,sandstone,limestone,"altered rock ",granite,ROCK,,,,,,
K4S23,0,25.3,350.8,420.36,550.8,sandstone,granite,"altered rock ",granite,ROCK,,,,,,
K5S04,0,110.6,800.56,granite,altered rock,ROCK,,,,,,,,,,
K5S10,0,78.07,189.36,250.69,granite,limestone,granite,ROCK,,,,,,,,
,,,,,,,,,,,,,,,,
sample,,,,,,,,,,,,,,,,
DH_Hole,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16
K1S13,0,50,150,prp,prp,Undifferentiated plane,,,,,,,,,,
K1S25,0,100,220,lsb,prp,pup,,,,,,,,,,
K1S32,0,100,210,310,500,pmb,pfp,pss,prp,pup,,,,,,
K1S43,0,121,461,731,900,lsb,pfp,prp,prp,pup,,,,,,
K1S45,0,542,700.2,900,pmb,pfp,prp,pup,,,,,,,,
K2S03,0,11,87.4,302.3,376.32,767.86,prp,pss,lsb,prp,pup,pup,,,,
K2S08,0,51.2,262.3,401,521.3,600,prp,pss,pup,prp,pup,pup,,,,
K2S11,0,56.89,379.36,563.25,760,pzs,pup ,pup ,prp,pmb,,,,,,
TK2S10,0,52.3,111.36,300.5,500.2,750.3,800.5,875,pup,lsb,pmb,prp,pmb,prp,pup,pup
K3S05,0,50,300.3,600.2,pzs,pup,prp,pup,,,,,,,,
K3S14,0,120.25,500.2,700.4,pup ,pmb,prp,pup,,,,,,,,
K4S05,0,100,250.3,460.2,560.7,650.8,680.8,pup,prp,pup,prp,pup,pup,pup,,
K4S13,0,70.3,280.8,500.3,lsb,pzs,prp,pup,,,,,,,,
K4S17,0,42.3,260.7,310.2,425.8,600.1,pzs,pfp,prp,pup,pup,prp,,,,
K4S26,0,68.3,120.3,389.6,500.6,pup,pss,pup,prp,pup,,,,,,
K4S02,0,100,156.36,850.9,900.6,lsb,pzs,prp,pup,pup,,,,,,
K4S23,0,25.3,350.8,420.36,550.8,lsb,pup ,prp,pup,pup,,,,,,
K5S04,0,110.6,800.56,pup,prp,pup,,,,,,,,,,
K5S10,0,78.07,189.36,250.69,pup ,lsb,pup ,pup,,,,,,,,
